Date,Open,High,Low,Close,Volume,Market Cap
Jul-03-2017,2506.47,2595,2480.47,2567,885058338,41454268437
Jul-04-2017,2564.06,2631.59,2559.35,2602.27,984523239.6,42661233036
Jul-05-2017,2601.64,2622.65,2538.55,2602.12,940907729.2,42324267937
Jul-06-2017,2601.99,2616.72,2581.69,2610.6,855108846.7,42767295308
Jul-07-2017,2608.56,2916.14,2498.87,2520.75,795842916.7,42038887408
Jul-08-2017,2518.66,2569.84,2492.31,2567.87,860610090.3,41539007845
Jul-09-2017,2571.34,2635.49,2517.59,2517.59,604168879.6,42231153309
Jul-10-2017,2518.44,2537.16,2321.13,2366.4,678839627.7,40817237825
Jul-11-2017,2372.56,2413.47,2296.81,2340.78,1409258056,38995537207
Jul-12-2017,2337.79,2423.71,2275.14,2399.01,1122298914,38756181593
Jul-13-2017,2398.84,2425.22,2340.83,2360.24,1010762498,39245449472
Jul-14-2017,2357.9,2363.25,2183.22,2226.36,767717547,37785005618
Jul-15-2017,2233.34,2233.34,1990.41,2007.37,986982045.1,34346519684
Jul-16-2017,1998.86,2058.77,1843.03,1922.72,1033100535,32032252666
Jul-17-2017,1929.82,2230.49,1929.82,2225.04,1167305540,33967109054
Jul-18-2017,2228.41,2387.61,2164.77,2329.8,1294231597,37592621361
Jul-19-2017,2318.88,2397.17,2260.23,2283.08,1460736007,38319359153
Jul-20-2017,2273.43,2900.7,2269.89,2801.6,1435910382,40792351398
Jul-21-2017,2817.6,2838.41,2621.85,2665.27,2279173833,44966993768
Jul-22-2017,2667.76,2862.42,2657.71,2810.37,1159568854,45581631723
Jul-23-2017,2810.12,2832.18,2653.94,2731.29,1177193750,45295672921
Jul-24-2017,2730.4,2777.26,2699.19,2757.5,901618210.3,45178257275
Jul-25-2017,2754.86,2768.08,2480.96,2571.07,1128623986,43420773817
Jul-26-2017,2576.48,2610.76,2450.8,2527.5,1225483802,41410763804
Jul-27-2017,2529.45,2693.32,2529.34,2671.57,779155975.7,42692653624
Jul-28-2017,2671.78,2897.45,2671.78,2809.01,1187123460,45662635660
Jul-29-2017,2807.02,2808.76,2692.8,2729.69,1040785760,45108961349
Jul-30-2017,2726.45,2758.53,2644.85,2752.85,728973611.1,44592449134
Jul-31-2017,2757.18,2889.62,2720.61,2872.31,703399926.8,46037036089
Aug-01-2017,2875.34,2921.35,2685.61,2713.63,1094064903,45888974656
Aug-02-2017,2718.26,2762.53,2668.59,2711.93,1232875833,44815955868
Aug-03-2017,2710.67,2813.31,2685.14,2802.24,944016937.5,45247008497
Aug-04-2017,2804.73,2899.33,2743.72,2899.33,951906801.4,46766265575
Aug-05-2017,2895.89,3290.01,2874.83,3253.94,1595063563,51990748735
Aug-06-2017,3252.91,3293.29,3155.6,3218.02,1406395868,53335010581
Aug-07-2017,3213.94,3397.68,3180.89,3374.01,1213881289,54368290118
Aug-08-2017,3378.94,3484.85,3345.83,3419.01,1658408785,56232317367
Aug-09-2017,3419.94,3422.76,3247.67,3345.37,1624614653,55242986143
Aug-10-2017,3342.47,3453.45,3319.47,3391.23,1378263090,55815174389
Aug-11-2017,3381.28,3679.72,3372.12,3654.33,1772835958,57533753109
Aug-12-2017,3650.62,3949.92,3613.7,3883.17,2129099167,62286782771
Aug-13-2017,3884.71,4208.39,3857.8,4062.87,2929857153,66698944735
Aug-14-2017,4073.26,4323.7,3989.16,4306.43,2774568328,68861391221
Aug-15-2017,4325.13,4455.97,3906.18,4181.96,2925089896,69577542343
Aug-16-2017,4181.93,4381.23,3994.42,4374.59,2602043646,69547223799
Aug-17-2017,4376.63,4484.7,4243.71,4349.1,2291049129,72153449099
Aug-18-2017,4331.69,4370.13,4015.4,4128.86,2659080208,70206129858
Aug-19-2017,4160.62,4243.26,3970.55,4202.15,3055205366,67500579074
Aug-20-2017,4193.7,4196.29,4069.88,4108.93,2491604549,68107644316
Aug-21-2017,4087.66,4109.14,3988.6,4001.47,2392424790,67025089751
Aug-22-2017,4001.74,4128.76,3674.58,4099.95,3542738785,65051698864
Aug-23-2017,4100.52,4255.78,4078.41,4149.94,2621162674,68521256729
Aug-24-2017,4151.52,4376.39,4130.26,4346.28,2162524808,69253166451
Aug-25-2017,4334.68,4455.7,4307.35,4367.18,1975388889,72174095101
Aug-26-2017,4371.6,4379.28,4269.52,4333.51,1594584896,71507021360
Aug-27-2017,4352.4,4416.59,4317.29,4379.94,1494478105,71990197748
Aug-28-2017,4382.88,4403.93,4224.64,4381.98,1753622902,71467851471
Aug-29-2017,4382.66,4625.68,4352.13,4576.33,2085864444,73944224708
Aug-30-2017,4579.02,4626.52,4471.41,4568.66,2360344931,75310050770
Aug-31-2017,4565.3,4736.05,4549.4,4704.98,1864586486,76665580139
Sep-01-2017,4703.39,4886.73,4678.53,4879.76,2163654132,79020071789
Sep-02-2017,4892.01,4975.04,4469.24,4568.28,2868830490,77373634855
Sep-03-2017,4578.77,4714.08,4417.59,4581.11,2178595382,75805250008
Sep-04-2017,4582.96,4591.63,4108.4,4224.22,2348947438,72284484191
Sep-05-2017,4236.31,4427.84,3998.11,4384.54,3052981469,69928775179
Sep-06-2017,4376.53,4617.25,4376.53,4593.39,2368508611,74829602185
Sep-07-2017,4597.12,4655.04,4491.33,4603.03,1932914424,75581470763
Sep-08-2017,4599.88,4661,4075.18,4224.81,1993160104,73748559954
Sep-09-2017,4228.75,4308.82,4114.11,4232.76,2366424669,69792799202
Sep-10-2017,4226.06,4245.44,3951.04,4122.58,1517856376,68039152047
Sep-11-2017,4122.94,4261.67,4099.4,4163.2,1617781631,68983366189
Sep-12-2017,4161.27,4344.65,4085.22,4141.68,1638364301,70065404526
Sep-13-2017,4130.81,4131.98,3789.92,3880.49,2072152292,65300057280
Sep-14-2017,3882.59,3920.6,3153.86,3153.86,2256522334,59666179067
Sep-15-2017,3154.95,3733.45,2946.62,3638.95,3639263614,55915509214
Sep-16-2017,3637.52,3808.84,3487.79,3620.74,3077740070,60495396813
Sep-17-2017,3625.04,3664.81,3445.64,3583.22,1441625455,58836899904
Sep-18-2017,3582.88,4079.23,3582.88,4056.1,1645700807,64291653754
Sep-19-2017,4065.2,4094.07,3868.87,3928.4,1705764201,65897480660
Sep-20-2017,3924.97,4031.39,3857.73,3917.47,1397132222,65307808707
Sep-21-2017,3905.95,3916.42,3613.63,3631.03,1233677825,63080994340
Sep-22-2017,3631.04,3758.27,3553.53,3635.53,1383438881,60364650542
Sep-23-2017,3630.7,3819.21,3594.58,3796.46,1089044670,61878172888
Sep-24-2017,3792.4,3796.15,3666.9,3689.71,842150277.8,61671526337
Sep-25-2017,3682.84,3950.25,3681.58,3923.13,1050890993,63422971696
Sep-26-2017,3926.07,3969.89,3869.9,3894.73,1228778118,65105337740
Sep-27-2017,3892.35,4210.05,3884.82,4199.28,1274666875,66933799781
Sep-28-2017,4200.67,4279.31,4109.7,4177.53,1848732125,69379222371
Sep-29-2017,4174.73,4192.72,4039.29,4128.299491,1474570558,68398876225
Sep-30-2017,4128.602804,4320.661177,4125.151262,4312.820213,995838914.8,71050825196
Oct-01-2017,4313.69041,4367.362509,4258.475164,4361.139973,1043389066,71812315487
Oct-02-2017,4362.54062,4446.342068,4361.270626,4384.188461,1177332864,73578031457
Oct-03-2017,4378.06235,4466.306182,4237.159335,4311.980091,1146606608,72064864634
Oct-04-2017,4312.216362,4337.574576,4206.295821,4235.080828,974139815.4,70852084570
Oct-05-2017,4237.438692,4348.467992,4157.650335,4311.095697,992029104.1,70637114450
Oct-06-2017,4308.291188,4392.401416,4296.675659,4349.048323,962450001.9,72496726485
Oct-07-2017,4347.018631,4416.203923,4312.669461,4401.216587,781030762.6,72450000113
